
1	It	PRP	1_1	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
2	has	VBZ	1_2	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
3	been	VBN	1_3	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
4	incredibly	RB	1_4	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
5	traumatic	JJ	1_5	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
6	and	CCV	1_6	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
7	is	VBZ	1_7	BEFORE_RESTRICTIVE_CLAUSE_GENERIC_HEAD
8	something	NN	1_8	IN_RESTRICTIVE_CLAUSE_GENERIC_HEAD_BEFORESIGN
9	[that]	SSCCV	1_9	IN_RESTRICTIVE_CLAUSE_GENERIC_HEAD
10	I	PRP	1_10	IN_RESTRICTIVE_CLAUSE_GENERIC_HEAD_AFTERSIGN
11	will	MD	1_11	IN_RESTRICTIVE_CLAUSE_GENERIC_HEAD_AFTERSIGN
12	never	RB	1_12	IN_RESTRICTIVE_CLAUSE_GENERIC_HEAD_AFTERSIGN
13	forget	VB	1_13	IN_RESTRICTIVE_CLAUSE_GENERIC_HEAD_AFTERSIGN
14	.	.	1_14	AFTER_RESTRICTIVE_CLAUSE_GENERIC_HEAD

1	Obviously	RB	2_1	BEFORE_WH_PHRASE
2	,	ESMAdvP	2_2	BEFORE_WH_PHRASE
3	no	DT	2_3	BEFORE_WH_PHRASE
4	one	NN	2_4	BEFORE_WH_PHRASE
5	would	MD	2_5	BEFORE_WH_PHRASE
6	have	VB	2_6	BEFORE_WH_PHRASE
7	wished	VBN	2_7	BEFORE_WH_PHRASE
8	[what]	SSCCV	2_8	IN_WH_PHRASE
9	happened	VBD	2_9	IN_WH_PHRASE_AFTERSIGN
10	to	TO	2_10	IN_WH_PHRASE_AFTERSIGN
11	Mr	NNP	2_11	IN_WH_PHRASE_AFTERSIGN
12	Gedge	NNP	2_12	IN_WH_PHRASE_AFTERSIGN
13	but	CCV	2_13	AFTER_WH_PHRASE
14	perhaps	RB	2_14	AFTER_WH_PHRASE
15	now	RB	2_15	AFTER_WH_PHRASE
16	in	IN	2_16	AFTER_WH_PHRASE
17	hindsight	NN	2_17	AFTER_WH_PHRASE
